timestamp,open,high,low,close,volume
2021-04-13,712.7000,763.0000,710.6600,762.3200,44652808
2021-04-12,685.7000,704.8000,682.0900,701.9800,29135670
2021-04-09,677.7700,680.9700,669.4300,677.0200,21437087
2021-04-08,677.3800,689.5499,671.6450,683.8000,23924329
2021-04-07,687.0000,691.3800,667.8400,670.9700,26309433
2021-04-06,690.3000,696.5500,681.3700,691.6200,28271839
2021-04-05,707.7100,708.1600,684.7000,691.0500,41842767
2021-04-01,688.3700,692.4203,659.4200,661.7500,35298378
2021-03-31,646.6200,672.0000,641.1100,667.9300,33337288
2021-03-30,601.7500,637.6600,591.0100,635.6200,39432359
2021-03-29,615.6400,616.4800,596.0200,611.2900,28636985
2021-03-26,641.8700,643.8200,599.8900,618.7100,33852827
2021-03-25,613.0000,645.5000,609.5000,640.3900,39224850
2021-03-24,667.9100,668.0200,630.1100,630.2700,33795174
2021-03-23,675.7700,677.8000,657.5100,662.1600,30491870
2021-03-22,684.5900,699.6200,668.7500,670.0000,39512221
2021-03-19,646.6000,657.2300,624.6201,654.8700,42893978
2021-03-18,684.2900,689.2300,652.0000,653.1600,33369022
2021-03-17,656.8700,703.7300,651.0100,701.8100,40372453
2021-03-16,703.3500,707.9200,671.0000,676.8800,32195672
2021-03-15,694.0900,713.1800,684.0400,707.9400,29423479
2021-03-12,670.0000,694.8800,666.1394,693.7300,33583840
2021-03-11,699.4000,702.5000,677.1800,699.6000,36253892
2021-03-10,700.3000,717.8500,655.0600,668.0600,60605672
2021-03-09,608.1800,678.0900,595.2100,673.5800,67523328
2021-03-08,600.5500,620.1250,558.7900,563.0000,51786958
2021-03-05,626.0600,627.8419,539.4900,597.9500,89396459
2021-03-04,655.8000,668.4500,600.0000,621.4400,64799898
2021-03-03,687.9900,700.7000,651.7050,653.2000,30207960
2021-03-02,718.2800,721.1100,685.0000,686.4400,23732158
2021-03-01,690.1100,719.0000,685.0500,718.4300,27136239
2021-02-26,700.0000,706.7000,659.5100,675.5000,39767316
2021-02-25,726.1500,737.2066,670.5800,682.2200,38126722
2021-02-24,711.8500,745.0000,694.1700,742.0200,36766950
2021-02-23,662.1300,713.6099,619.0000,698.8400,66606882
2021-02-22,762.6400,768.5000,710.2000,714.5000,36594555
2021-02-19,795.0000,796.7899,777.3700,781.3000,18958255
